x,y
"2015/01/02",2.671
"2015/01/05",2.661
"2015/01/06",2.631
"2015/01/07",2.58
"2015/01/08",2.61
"2015/01/09",2.631
"2015/01/12",2.631
"2015/01/13",2.661
"2015/01/14",2.631
"2015/01/15",2.52
"2015/01/16",2.391
"2015/01/20",2.241
"2015/01/21",2.451
"2015/01/22",2.471
"2015/01/23",2.451
"2015/01/26",2.61
"2015/01/27",2.701
"2015/01/28",2.631
"2015/01/29",2.61
"2015/01/30",2.57
"2015/02/02",2.671
"2015/02/03",2.76
"2015/02/04",2.85
"2015/02/05",3.31
"2015/02/06",3.03
"2015/02/09",3.04
"2015/02/10",3.04
"2015/02/11",3.07
"2015/02/12",3.12
"2015/02/13",3.151
"2015/02/17",3.11
"2015/02/18",3.08
"2015/02/19",3.06
"2015/02/20",3.06
"2015/02/23",3.06
"2015/02/24",3.11
"2015/02/25",3.1
"2015/02/26",3.08
"2015/02/27",3.11
"2015/03/02",3.211
"2015/03/03",3.141
"2015/03/04",3.05
"2015/03/05",2.981
"2015/03/06",2.921
"2015/03/09",2.931
"2015/03/10",2.921
"2015/03/11",2.84
"2015/03/12",2.76
"2015/03/13",2.75
"2015/03/16",2.76
"2015/03/17",2.77
"2015/03/18",2.75
"2015/03/19",2.741
"2015/03/20",2.8
"2015/03/23",2.84
"2015/03/24",2.79
"2015/03/25",2.631
"2015/03/26",2.651
"2015/03/27",2.721
"2015/03/30",2.701
"2015/03/31",2.681
"2015/04/01",2.691
"2015/04/02",2.691
"2015/04/06",2.701
"2015/04/07",2.701
"2015/04/08",2.711
"2015/04/09",2.721
"2015/04/10",2.76
"2015/04/13",2.78
"2015/04/14",2.671
"2015/04/15",2.701
"2015/04/16",2.87
"2015/04/17",2.58
"2015/04/20",2.491
"2015/04/21",2.35
"2015/04/22",2.28
"2015/04/23",2.33
"2015/04/24",2.3
"2015/04/27",2.34
"2015/04/28",2.31
"2015/04/29",2.28
"2015/04/30",2.26
"2015/05/01",2.31
"2015/05/04",2.31
"2015/05/05",2.28
"2015/05/06",2.29
"2015/05/07",2.32
"2015/05/08",2.31
"2015/05/11",2.32
"2015/05/12",2.35
"2015/05/13",2.37
"2015/05/14",2.33
"2015/05/15",2.32
"2015/05/18",2.35
"2015/05/19",2.28
"2015/05/20",2.32
"2015/05/21",2.28
"2015/05/22",2.28
"2015/05/26",2.221
"2015/05/27",2.28
"2015/05/28",2.27
"2015/05/29",2.28
"2015/06/01",2.25
"2015/06/02",2.3
"2015/06/03",2.28
"2015/06/04",2.33
"2015/06/05",2.33
"2015/06/08",2.31
"2015/06/09",2.29
"2015/06/10",2.32
"2015/06/11",2.32
"2015/06/12",2.31
"2015/06/15",2.32
"2015/06/16",2.35
"2015/06/17",2.471
"2015/06/18",2.52
"2015/06/19",2.58
"2015/06/22",2.62
"2015/06/23",2.61
"2015/06/24",2.62
"2015/06/25",2.58
"2015/06/26",2.471
"2015/06/29",2.34
"2015/06/30",2.401
"2015/07/01",2.421
"2015/07/02",2.53
"2015/07/06",2.471
"2015/07/07",2.09
"2015/07/08",2.01
"2015/07/09",1.981
"2015/07/10",1.961
"2015/07/13",1.961
"2015/07/14",2.05
"2015/07/15",1.961
"2015/07/16",1.871
"2015/07/17",1.79
"2015/07/20",1.8
"2015/07/21",1.8
"2015/07/22",1.79
"2015/07/23",1.76
"2015/07/24",1.67
"2015/07/27",1.621
"2015/07/28",1.77
"2015/07/29",1.961
"2015/07/30",1.93
"2015/07/31",1.93
"2015/08/03",2.201
"2015/08/04",2.131
"2015/08/05",2.161
"2015/08/06",2.11
"2015/08/07",2.09
"2015/08/10",1.93
"2015/08/11",1.9
"2015/08/12",1.9
"2015/08/13",1.79
"2015/08/14",1.841
"2015/08/17",1.8
"2015/08/18",1.8
"2015/08/19",1.8
"2015/08/20",1.701
"2015/08/21",1.78
"2015/08/24",1.75
"2015/08/25",1.66
"2015/08/26",1.721
"2015/08/27",1.78
"2015/08/28",1.851
"2015/08/31",1.81
"2015/09/01",1.711
"2015/09/02",1.77
"2015/09/03",1.79
"2015/09/04",1.821
"2015/09/08",1.88
"2015/09/09",1.851
"2015/09/10",1.841
"2015/09/11",2.01
"2015/09/14",1.821
"2015/09/15",1.861
"2015/09/16",1.89
"2015/09/17",1.89
"2015/09/18",1.871
"2015/09/21",1.81
"2015/09/22",1.731
"2015/09/23",1.701
"2015/09/24",1.721
"2015/09/25",1.711
"2015/09/28",1.66
"2015/09/29",1.67
"2015/09/30",1.721
"2015/10/01",1.741
"2015/10/02",1.831
"2015/10/05",1.8
"2015/10/06",1.831
"2015/10/07",1.861
"2015/10/08",1.93
"2015/10/09",1.961
"2015/10/12",1.871
"2015/10/13",1.92
"2015/10/14",1.951
"2015/10/15",1.971
"2015/10/16",1.941
"2015/10/19",2.01
"2015/10/20",2.02
"2015/10/21",2.1
"2015/10/22",2.141
"2015/10/23",2.211
"2015/10/26",2.151
"2015/10/27",2.151
"2015/10/28",2.181
"2015/10/29",2.131
"2015/10/30",2.12
"2015/11/02",2.191
"2015/11/03",2.28
"2015/11/04",2.201
"2015/11/05",2.201
"2015/11/06",2.151
"2015/11/09",2.11
"2015/11/10",2.02
"2015/11/11",2.07
"2015/11/12",2
"2015/11/13",1.991
"2015/11/16",1.991
"2015/11/17",1.981
"2015/11/18",2.12
"2015/11/19",2.141
"2015/11/20",2.221
"2015/11/23",2.221
"2015/11/24",2.34
"2015/11/25",2.381
"2015/11/27",2.33
"2015/11/30",2.36
"2015/12/01",2.34
"2015/12/02",2.27
"2015/12/03",2.231
"2015/12/04",2.28
"2015/12/07",2.36
"2015/12/08",2.391
"2015/12/09",2.35
"2015/12/10",2.451
"2015/12/11",2.36
"2015/12/14",2.34
"2015/12/15",2.36
"2015/12/16",2.54
"2015/12/17",2.56
"2015/12/18",2.451
"2015/12/21",2.53
"2015/12/22",2.77
"2015/12/23",2.83
"2015/12/24",2.921
"2015/12/28",3
"2015/12/29",3
"2015/12/30",2.981
"2015/12/31",2.87
