x,y
"2015/01/02",72.34
"2015/01/05",71.981
"2015/01/06",70.53
"2015/01/07",71.111
"2015/01/08",72.92
"2015/01/09",71.84
"2015/01/12",71.121
"2015/01/13",70.59
"2015/01/14",69.99
"2015/01/15",70.291
"2015/01/16",71.731
"2015/01/20",71.49
"2015/01/21",71.541
"2015/01/22",73.481
"2015/01/23",74.06
"2015/01/26",72.74
"2015/01/27",71.46
"2015/01/28",70.25
"2015/01/29",71.64
"2015/01/30",70.13
"2015/02/02",71.111
"2015/02/03",71.92
"2015/02/04",72.28
"2015/02/05",73.1
"2015/02/06",72.541
"2015/02/09",72.331
"2015/02/10",72.761
"2015/02/11",73.011
"2015/02/12",74.59
"2015/02/13",76.511
"2015/02/17",77.13
"2015/02/18",77.731
"2015/02/19",77.731
"2015/02/20",78.551
"2015/02/23",78.1
"2015/02/24",77.681
"2015/02/25",78.07
"2015/02/26",78.96
"2015/02/27",79.1
"2015/03/02",79.791
"2015/03/03",78.99
"2015/03/04",77.63
"2015/03/05",78.621
"2015/03/06",77.551
"2015/03/09",77.931
"2015/03/10",76.011
"2015/03/11",76.011
"2015/03/12",77.401
"2015/03/13",77.621
"2015/03/16",78.331
"2015/03/17",79.661
"2015/03/18",76.89
"2015/03/19",77.14
"2015/03/20",77.361
"2015/03/23",76.35
"2015/03/24",75.45
"2015/03/25",73.13
"2015/03/26",72.971
"2015/03/27",73.31
"2015/03/30",73.6
"2015/03/31",73.941
"2015/04/01",75.07
"2015/04/02",75.681
"2015/04/06",76.231
"2015/04/07",75.651
"2015/04/08",75.441
"2015/04/09",76.331
"2015/04/10",76.53
"2015/04/13",76.02
"2015/04/14",75.95
"2015/04/15",76.03
"2015/04/16",75.151
"2015/04/17",73.151
"2015/04/20",73.92
"2015/04/21",74.621
"2015/04/22",75.5
"2015/04/23",76.52
"2015/04/24",76.541
"2015/04/27",76.551
"2015/04/28",76.02
"2015/04/29",76.651
"2015/04/30",76.06
"2015/05/01",76.431
"2015/05/04",75.85
"2015/05/05",75
"2015/05/06",74.481
"2015/05/07",74.731
"2015/05/08",76.31
"2015/05/11",76.791
"2015/05/12",76.57
"2015/05/13",77.081
"2015/05/14",79.431
"2015/05/15",78.92
"2015/05/18",79.411
"2015/05/19",79.621
"2015/05/20",79.611
"2015/05/21",80.56
"2015/05/22",80.041
"2015/05/26",79.361
"2015/05/27",80.161
"2015/05/28",80.02
"2015/05/29",79.09
"2015/06/01",79.871
"2015/06/02",79.82
"2015/06/03",80.13
"2015/06/04",78.75
"2015/06/05",78.861
"2015/06/08",78.161
"2015/06/09",77.901
"2015/06/10",79.56
"2015/06/11",79.651
"2015/06/12",79.861
"2015/06/15",78.901
"2015/06/16",79.941
"2015/06/17",77.911
"2015/06/18",79.39
"2015/06/19",79.7
"2015/06/22",82.28
"2015/06/23",83.551
"2015/06/24",83.401
"2015/06/25",83.941
"2015/06/26",82.74
"2015/06/29",81.28
"2015/06/30",81.011
"2015/07/01",80.941
"2015/07/02",80.75
"2015/07/06",80.5
"2015/07/07",80.59
"2015/07/08",79.99
"2015/07/09",80.471
"2015/07/10",80.59
"2015/07/13",81.441
"2015/07/14",81.89
"2015/07/15",82.121
"2015/07/16",82.52
"2015/07/17",82.1
"2015/07/20",82.09
"2015/07/21",81.191
"2015/07/22",80.731
"2015/07/23",80.64
"2015/07/24",80.981
"2015/07/27",79.931
"2015/07/28",80.59
"2015/07/29",80.25
"2015/07/30",81.291
"2015/07/31",81.99
"2015/08/03",81.401
"2015/08/04",82.06
"2015/08/05",83.38
"2015/08/06",82.191
"2015/08/07",82.691
"2015/08/10",83.621
"2015/08/11",83.901
"2015/08/12",83.82
"2015/08/13",84.31
"2015/08/14",86.121
"2015/08/17",86.77
"2015/08/18",86.45
"2015/08/19",85.481
"2015/08/20",82.691
"2015/08/21",78.871
"2015/08/24",74.27
"2015/08/25",74.57
"2015/08/26",77.331
"2015/08/27",78.911
"2015/08/28",79.401
"2015/08/31",78.57
"2015/09/01",75.99
"2015/09/02",77.25
"2015/09/03",78.32
"2015/09/04",76.89
"2015/09/08",79.78
"2015/09/09",78.52
"2015/09/10",78.7
"2015/09/11",79.191
"2015/09/14",78.46
"2015/09/15",79.53
"2015/09/16",80.53
"2015/09/17",80.31
"2015/09/18",81.25
"2015/09/21",83.32
"2015/09/22",84.661
"2015/09/23",85.5
"2015/09/24",83.911
"2015/09/25",83.13
"2015/09/28",80.52
"2015/09/29",79.831
"2015/09/30",82.221
"2015/10/01",83.75
"2015/10/02",83.99
"2015/10/05",85.84
"2015/10/06",85.151
"2015/10/07",80.651
"2015/10/08",82.261
"2015/10/09",83.82
"2015/10/12",83.92
"2015/10/13",83.651
"2015/10/14",83.801
"2015/10/15",86.77
"2015/10/16",88.67
"2015/10/19",88.401
"2015/10/20",86.84
"2015/10/21",86.13
"2015/10/22",88.46
"2015/10/23",87.861
"2015/10/26",88.84
"2015/10/27",88.051
"2015/10/28",88.5
"2015/10/29",88.121
"2015/10/30",88.661
"2015/11/02",89.911
"2015/11/03",90.361
"2015/11/04",91.011
"2015/11/05",90.551
"2015/11/06",90.691
"2015/11/09",89.801
"2015/11/10",90.28
"2015/11/11",91.21
"2015/11/12",90.84
"2015/11/13",89.02
"2015/11/16",89.77
"2015/11/17",90.291
"2015/11/18",91.27
"2015/11/19",91.761
"2015/11/20",91.81
"2015/11/23",91.96
"2015/11/24",92
"2015/11/25",91.77
"2015/11/27",92.17
"2015/11/30",91.46
"2015/12/01",92.551
"2015/12/02",92.02
"2015/12/03",89.911
"2015/12/04",92.581
"2015/12/07",89.6
"2015/12/08",91.721
"2015/12/09",89.56
"2015/12/10",88.96
"2015/12/11",91.42
"2015/12/14",93.261
"2015/12/15",94.02
"2015/12/16",95.56
"2015/12/17",94.2
"2015/12/18",91.31
"2015/12/21",91.621
"2015/12/22",93.82
"2015/12/23",94.7
"2015/12/24",94.301
"2015/12/28",94.2
"2015/12/29",95.331
"2015/12/30",95.28
"2015/12/31",93.941
