x,y
"2019/01/02",18.83
"2019/01/03",17.05
"2019/01/04",19
"2019/01/07",20.57
"2019/01/08",20.75
"2019/01/09",20.191
"2019/01/10",19.74
"2019/01/11",20.271
"2019/01/14",20.23
"2019/01/15",20.38
"2019/01/16",19.73
"2019/01/17",20.25
"2019/01/18",20.771
"2019/01/22",19.761
"2019/01/23",19.8
"2019/01/24",20.851
"2019/01/25",21.931
"2019/01/28",20.181
"2019/01/29",19.25
"2019/01/30",23.091
"2019/01/31",24.41
"2019/02/01",24.511
"2019/02/04",24.13
"2019/02/05",23.31
"2019/02/06",23.261
"2019/02/07",22.671
"2019/02/08",23.05
"2019/02/11",22.96
"2019/02/12",22.82
"2019/02/13",22.851
"2019/02/14",23.13
"2019/02/15",23.681
"2019/02/19",23.951
"2019/02/20",23.951
"2019/02/21",23.921
"2019/02/22",24.361
"2019/02/25",24.71
"2019/02/26",24.21
"2019/02/27",23.48
"2019/02/28",23.531
"2019/03/01",23.681
"2019/03/04",23.371
"2019/03/05",23.5
"2019/03/06",22.41
"2019/03/07",22.08
"2019/03/08",22.011
"2019/03/11",22.96
"2019/03/12",23.49
"2019/03/13",23.38
"2019/03/14",22.82
"2019/03/15",23.291
"2019/03/18",23.25
"2019/03/19",26
"2019/03/20",25.701
"2019/03/21",27.89
"2019/03/22",26.371
"2019/03/25",25.97
"2019/03/26",25.691
"2019/03/27",24.89
"2019/03/28",25.06
"2019/03/29",25.521
"2019/04/01",26.361
"2019/04/02",26.75
"2019/04/03",29.021
"2019/04/04",29.091
"2019/04/05",28.98
"2019/04/08",28.531
"2019/04/09",27.24
"2019/04/10",27.83
"2019/04/11",27.791
"2019/04/12",27.851
"2019/04/15",27.33
"2019/04/16",27.931
"2019/04/17",27.49
"2019/04/18",27.681
"2019/04/22",28.181
"2019/04/23",27.97
"2019/04/24",28.46
"2019/04/25",27.66
"2019/04/26",27.88
"2019/04/29",27.691
"2019/04/30",27.63
"2019/05/01",26.81
"2019/05/02",28.291
"2019/05/03",28.22
"2019/05/06",27.421
"2019/05/07",26.66
"2019/05/08",27.091
"2019/05/09",27.21
"2019/05/10",27.96
"2019/05/13",26.24
"2019/05/14",27.32
"2019/05/15",27.58
"2019/05/16",28.011
"2019/05/17",27.5
"2019/05/20",26.681
"2019/05/21",27.351
"2019/05/22",27.41
"2019/05/23",26.361
"2019/05/24",26.441
"2019/05/28",29.05
"2019/05/29",28.091
"2019/05/30",28.031
"2019/05/31",27.41
"2019/06/03",27.58
"2019/06/04",29.57
"2019/06/05",29.5
"2019/06/06",31.82
"2019/06/07",32.41
"2019/06/10",33.23
"2019/06/11",32.41
"2019/06/12",32.181
"2019/06/13",31.39
"2019/06/14",30.361
"2019/06/17",29.201
"2019/06/18",30.451
"2019/06/19",30.5
"2019/06/20",30.011
"2019/06/21",29.101
"2019/06/24",29.261
"2019/06/25",28.861
"2019/06/26",29.921
"2019/06/27",30.74
"2019/06/28",30.371
"2019/07/01",31.201
"2019/07/02",31.24
"2019/07/03",31.191
"2019/07/05",31.5
"2019/07/08",32.041
"2019/07/09",33.151
"2019/07/10",33.791
"2019/07/11",33.061
"2019/07/12",33.21
"2019/07/15",34.39
"2019/07/16",33.85
"2019/07/17",33.6
"2019/07/18",33
"2019/07/19",32.51
"2019/07/22",32.85
"2019/07/23",33.491
"2019/07/24",34.111
"2019/07/25",33.67
"2019/07/26",34.021
"2019/07/29",33.48
"2019/07/30",33.87
"2019/07/31",30.451
"2019/08/01",29.861
"2019/08/02",29.441
"2019/08/05",27.99
"2019/08/06",28.861
"2019/08/07",29.191
"2019/08/08",33.92
"2019/08/09",34.19
"2019/08/12",32.431
"2019/08/13",32.111
"2019/08/14",30.24
"2019/08/15",29.671
"2019/08/16",31.181
"2019/08/19",31.48
"2019/08/20",30.72
"2019/08/21",31.701
"2019/08/22",31.9
"2019/08/23",29.541
"2019/08/26",30.281
"2019/08/27",30.201
"2019/08/28",30.781
"2019/08/29",31.451
"2019/08/30",31.451
"2019/09/03",30.9
"2019/09/04",30.951
"2019/09/05",31.5
"2019/09/06",30.56
"2019/09/09",30.5
"2019/09/10",30.23
"2019/09/11",29.761
"2019/09/12",30.21
"2019/09/13",30.691
"2019/09/16",30.83
"2019/09/17",30.99
"2019/09/18",30.421
"2019/09/19",30.291
"2019/09/20",30.05
"2019/09/23",30.64
"2019/09/24",29.521
"2019/09/25",29.541
"2019/09/26",29.47
"2019/09/27",28.72
"2019/09/30",28.99
"2019/10/01",28.761
"2019/10/02",28.31
"2019/10/03",28.681
"2019/10/04",29.011
"2019/10/07",28.931
"2019/10/08",28.23
"2019/10/09",28.46
"2019/10/10",28.38
"2019/10/11",29.75
"2019/10/14",30.531
"2019/10/15",30.72
"2019/10/16",30.81
"2019/10/17",31.14
"2019/10/18",30.97
"2019/10/21",32.03
"2019/10/22",31.511
"2019/10/23",31.361
"2019/10/24",31.72
"2019/10/25",32.71
"2019/10/28",33.69
"2019/10/29",33.03
"2019/10/30",33.131
"2019/10/31",33.931
"2019/11/01",34.89
"2019/11/04",36.291
"2019/11/05",36.151
"2019/11/06",35.931
"2019/11/07",36.28
"2019/11/08",36.291
"2019/11/11",36.311
"2019/11/12",36.71
"2019/11/13",37.521
"2019/11/14",38.35
"2019/11/15",38.561
"2019/11/18",39.881
"2019/11/19",41.291
"2019/11/20",40.98
"2019/11/21",39.521
"2019/11/22",39.151
"2019/11/25",39.791
"2019/11/26",38.991
"2019/11/27",39.41
"2019/11/29",39.151
"2019/12/02",38.73
"2019/12/03",38.901
"2019/12/04",39.69
"2019/12/05",39.62
"2019/12/06",39.631
"2019/12/09",38.931
"2019/12/10",39.44
"2019/12/11",39.471
"2019/12/12",42.591
"2019/12/13",41.151
"2019/12/16",42.35
"2019/12/17",42.771
"2019/12/18",42.3
"2019/12/19",42.831
"2019/12/20",44.151
"2019/12/23",45.46
"2019/12/24",46.541
"2019/12/26",46.631
"2019/12/27",46.181
"2019/12/30",45.521
"2019/12/31",45.861
