Date,Adjusted Close
2017/04/07,23.510000228881836
2017/04/10,23.25
2017/04/11,23.299999237060547
2017/04/12,23.0
2017/04/13,24.489999771118164
2017/04/17,24.469999313354492
2017/04/18,23.56999969482422
2017/04/19,23.350000381469727
2017/04/20,24.010000228881836
2017/04/21,24.290000915527344
2017/04/24,23.940000534057617
2017/04/25,24.709999084472656
2017/04/26,25.520000457763672
2017/04/27,26.31999969482422
2017/04/28,26.049999237060547
2017/05/01,25.520000457763672
2017/05/02,24.760000228881836
2017/05/03,24.975000381469727
2017/05/04,24.969999313354492
2017/05/05,25.149999618530273
2017/05/08,23.729999542236328
2017/05/09,23.860000610351562
2017/05/10,23.450000762939453
2017/05/11,23.34000015258789
2017/05/12,23.700000762939453
2017/05/15,23.739999771118164
2017/05/16,23.260000228881836
2017/05/17,22.90999984741211
2017/05/18,22.989999771118164
2017/05/19,24.239999771118164
2017/05/22,25.010000228881836
2017/05/23,24.520000457763672
2017/05/24,24.239999771118164
2017/05/25,25.059999465942383
2017/05/26,25.989999771118164
2017/05/30,25.989999771118164
2017/05/31,26.100000381469727
2017/06/01,25.299999237060547
2017/06/02,24.93000030517578
2017/06/05,24.610000610351562
2017/06/06,24.850000381469727
2017/06/07,25.690000534057617
2017/06/08,27.149999618530273
2017/06/09,25.09000015258789
2017/06/12,23.809999465942383
2017/06/13,25.530000686645508
2017/06/14,26.549999237060547
2017/06/15,25.639999389648438
2017/06/16,26.479999542236328
2017/06/19,27.309999465942383
2017/06/20,26.610000610351562
2017/06/21,25.940000534057617
2017/06/22,26.299999237060547
2017/06/23,25.530000686645508
2017/06/26,25.280000686645508
2017/06/27,24.040000915527344
2017/06/28,23.989999771118164
2017/06/29,23.290000915527344
2017/06/30,22.799999237060547
2017/07/03,22.5
2017/07/05,22.3799991607666
2017/07/06,22.780000686645508
2017/07/07,23.399999618530273
2017/07/10,23.209999084472656
2017/07/11,23.020000457763672
2017/07/12,23.31999969482422
2017/07/13,23.190000534057617
2017/07/14,23.139999389648438
2017/07/17,23.760000228881836
2017/07/18,23.75
2017/07/19,24.149999618530273
2017/07/20,24.030000686645508
2017/07/21,24.270000457763672
2017/07/24,23.65999984741211
2017/07/25,23.68000030517578
2017/07/26,23.520000457763672
2017/07/27,22.690000534057617
2017/07/28,22.3700008392334
2017/07/31,21.950000762939453
2017/08/01,22.690000534057617
2017/08/02,22.190000534057617
2017/08/03,22.81999969482422
2017/08/04,23.010000228881836
2017/08/07,23.440000534057617
2017/08/08,23.559999465942383
2017/08/09,23.670000076293945
2017/08/10,22.959999084472656
2017/08/11,23.780000686645508
2017/08/14,24.030000686645508
2017/08/15,23.610000610351562
2017/08/16,24.59000015258789
2017/08/17,24.25
2017/08/18,24.860000610351562
2017/08/21,25.06999969482422
2017/08/22,25.700000762939453
2017/08/23,25.440000534057617
2017/08/24,25.40999984741211
2017/08/25,24.93000030517578
2017/08/28,24.459999084472656
2017/08/29,24.489999771118164
2017/08/30,26.309999465942383
2017/08/31,26.989999771118164
2017/09/01,26.59000015258789
2017/09/05,26.350000381469727
2017/09/06,27.020000457763672
2017/09/07,27.1200008392334
2017/09/08,30.299999237060547
2017/09/11,30.190000534057617
2017/09/12,29.399999618530273
2017/09/13,29.559999465942383
2017/09/14,28.969999313354492
2017/09/15,28.6200008392334
2017/09/18,29.25
2017/09/19,29.459999084472656
2017/09/20,29.15999984741211
2017/09/21,29.399999618530273
2017/09/22,29.200000762939453
2017/09/25,28.799999237060547
2017/09/26,28.540000915527344
2017/09/27,29.1299991607666
2017/09/28,28.989999771118164
2017/09/29,28.209999084472656
2017/10/02,27.649999618530273
2017/10/03,28.010000228881836
2017/10/04,27.040000915527344
2017/10/05,27.75
2017/10/06,27.989999771118164
2017/10/09,28.0
2017/10/10,28.559999465942383
2017/10/11,28.56999969482422
2017/10/12,28.510000228881836
2017/10/13,27.6299991607666
2017/10/16,26.579999923706055
2017/10/17,26.770000457763672
2017/10/18,27.739999771118164
2017/10/19,28.020000457763672
2017/10/20,28.600000381469727
2017/10/23,27.90999984741211
2017/10/24,27.649999618530273
2017/10/25,27.549999237060547
2017/10/26,27.59000015258789
2017/10/27,27.920000076293945
2017/10/30,27.649999618530273
2017/10/31,28.920000076293945
2017/11/01,28.969999313354492
2017/11/02,28.469999313354492
2017/11/03,28.5
2017/11/06,28.940000534057617
2017/11/07,28.530000686645508
2017/11/08,29.15999984741211
2017/11/09,29.0
2017/11/10,29.190000534057617
2017/11/13,29.155000686645508
2017/11/14,29.149999618530273
2017/11/15,28.6200008392334
2017/11/16,29.690000534057617
2017/11/17,29.239999771118164
2017/11/20,29.540000915527344
2017/11/21,29.979999542236328
2017/11/22,29.989999771118164
2017/11/24,31.280000686645508
2017/11/27,30.829999923706055
2017/11/28,31.219999313354492
2017/11/29,29.40999984741211
2017/11/30,29.209999084472656
2017/12/01,28.719999313354492
2017/12/04,28.309999465942383
2017/12/05,28.360000610351562
2017/12/06,28.459999084472656
2017/12/07,29.170000076293945
2017/12/08,27.15999984741211
2017/12/11,26.489999771118164
2017/12/12,25.559999465942383
2017/12/13,26.049999237060547
2017/12/14,26.059999465942383
2017/12/15,25.950000762939453
2017/12/18,25.229999542236328
2017/12/19,25.479999542236328
2017/12/20,25.399999618530273
2017/12/21,25.68000030517578
2017/12/22,25.520000457763672
2017/12/26,26.06999969482422
2017/12/27,26.010000228881836
2017/12/28,25.760000228881836
2017/12/29,25.610000610351562
2018/01/02,26.459999084472656
2018/01/03,26.489999771118164
2018/01/04,26.56999969482422
2018/01/05,26.540000915527344
2018/01/08,26.389999389648438
2018/01/09,26.420000076293945
2018/01/10,26.510000228881836
2018/01/11,26.56999969482422
2018/01/12,27.0
2018/01/16,26.350000381469727
2018/01/17,26.780000686645508
2018/01/18,27.0
2018/01/19,29.18000030517578
2018/01/22,29.799999237060547
2018/01/23,30.3799991607666
2018/01/24,30.790000915527344
2018/01/25,30.520000457763672
2018/01/26,30.979999542236328
2018/01/29,30.40999984741211
2018/01/30,29.799999237060547
2018/01/31,29.450000762939453
2018/02/01,29.860000610351562
2018/02/02,29.299999237060547
2018/02/05,28.530000686645508
2018/02/06,28.84000015258789
2018/02/07,29.399999618530273
2018/02/08,28.559999465942383
2018/02/09,28.8700008392334
2018/02/12,30.6299991607666
2018/02/13,31.56999969482422
2018/02/14,33.91999816894531
2018/02/15,33.36000061035156
2018/02/16,34.75
2018/02/20,35.84000015258789
2018/02/21,35.33000183105469
2018/02/22,35.81999969482422
2018/02/23,36.4900016784668
2018/02/26,37.70000076293945
2018/02/27,37.7400016784668
2018/02/28,38.59000015258789
2018/03/01,36.400001525878906
2018/03/02,37.47999954223633
2018/03/05,38.84000015258789
2018/03/06,38.220001220703125
2018/03/07,39.13999938964844
2018/03/08,42.599998474121094
2018/03/09,39.709999084472656
2018/03/12,39.689998626708984
2018/03/13,40.5
2018/03/14,39.70000076293945
2018/03/15,38.7400016784668
2018/03/16,38.56999969482422
2018/03/19,37.9900016784668
2018/03/20,38.9900016784668
2018/03/21,39.5099983215332
2018/03/22,39.209999084472656
2018/03/23,38.380001068115234
2018/03/26,39.79999923706055
2018/03/27,38.459999084472656
2018/03/28,38.27000045776367
2018/03/29,39.849998474121094
2018/04/02,39.02000045776367
2018/04/03,38.9900016784668
2018/04/04,39.560001373291016
2018/04/05,38.97999954223633
2018/04/06,38.63999938964844
2018/04/09,38.65999984741211
2018/04/10,39.220001220703125
2018/04/11,40.349998474121094
2018/04/12,40.75
2018/04/13,40.59000015258789
2018/04/16,40.599998474121094
2018/04/17,41.560001373291016
2018/04/18,41.540000915527344
2018/04/19,41.08000183105469
2018/04/20,41.970001220703125
2018/04/23,43.31999969482422
2018/04/24,41.959999084472656
2018/04/25,42.0
2018/04/26,42.779998779296875
2018/04/27,41.7400016784668
2018/04/30,42.810001373291016
2018/05/01,43.439998626708984
2018/05/02,44.58000183105469
2018/05/03,45.540000915527344
2018/05/04,45.7599983215332
2018/05/07,47.04999923706055
2018/05/08,47.75
2018/05/09,49.279998779296875
2018/05/10,50.400001525878906
2018/05/11,50.5
2018/05/14,48.150001525878906
2018/05/15,48.52000045776367
2018/05/16,48.9900016784668
2018/05/17,49.22999954223633
2018/05/18,49.720001220703125
2018/05/21,50.540000915527344
2018/05/22,48.5099983215332
