Date,Adjusted Close
2012/02/08,14.0
2012/02/09,13.90999984741211
2012/02/10,13.960000038146973
2012/02/13,13.649999618530273
2012/02/14,13.4399995803833
2012/02/15,13.399999618530273
2012/02/16,13.539999961853027
2012/02/17,13.579999923706055
2012/02/21,13.710000038146973
2012/02/22,13.960000038146973
2012/02/23,13.9399995803833
2012/02/24,13.710000038146973
2012/02/27,13.65999984741211
2012/02/28,13.829999923706055
2012/02/29,14.130000114440918
2012/03/01,15.0
2012/03/02,15.140000343322754
2012/03/05,15.09000015258789
2012/03/06,15.0
2012/03/07,15.229999542236328
2012/03/08,15.229999542236328
2012/03/09,15.319999694824219
2012/03/12,15.140000343322754
2012/03/13,15.779999732971191
2012/03/14,16.200000762939453
2012/03/15,17.0
2012/03/16,16.799999237060547
2012/03/19,17.40999984741211
2012/03/20,17.40999984741211
2012/03/21,17.3799991607666
2012/03/22,16.600000381469727
2012/03/23,17.100000381469727
2012/03/26,16.979999542236328
2012/03/27,21.110000610351562
2012/03/28,20.0
2012/03/29,20.100000381469727
2012/03/30,20.520000457763672
2012/04/02,21.709999084472656
2012/04/03,22.200000762939453
2012/04/04,21.149999618530273
2012/04/05,20.959999084472656
2012/04/09,21.270000457763672
2012/04/10,21.799999237060547
2012/04/11,22.59000015258789
2012/04/12,23.25
2012/04/13,22.649999618530273
2012/04/16,21.200000762939453
2012/04/17,20.260000228881836
2012/04/18,20.18000030517578
2012/04/19,20.389999389648438
2012/04/20,20.040000915527344
2012/04/23,20.170000076293945
2012/04/24,19.780000686645508
2012/04/25,19.84000015258789
2012/04/26,20.049999237060547
2012/04/27,20.09000015258789
2012/04/30,20.639999389648438
2012/05/01,20.729999542236328
2012/05/02,21.899999618530273
2012/05/03,21.049999237060547
2012/05/04,20.459999084472656
2012/05/07,20.1200008392334
2012/05/08,18.079999923706055
2012/05/09,17.75
2012/05/10,17.6200008392334
2012/05/11,17.360000610351562
2012/05/14,16.020000457763672
2012/05/15,15.3100004196167
2012/05/16,15.649999618530273
2012/05/17,15.0600004196167
2012/05/18,14.970000267028809
2012/05/21,15.670000076293945
2012/05/22,15.6899995803833
2012/05/23,16.600000381469727
2012/05/24,16.950000762939453
2012/05/25,16.989999771118164
2012/05/29,17.200000762939453
2012/05/30,17.299999237060547
2012/05/31,17.5
2012/06/01,16.520000457763672
2012/06/04,16.420000076293945
2012/06/05,16.75
2012/06/06,16.600000381469727
2012/06/07,16.510000228881836
2012/06/08,16.780000686645508
2012/06/11,16.8799991607666
2012/06/12,17.3700008392334
2012/06/13,17.969999313354492
2012/06/14,17.790000915527344
2012/06/15,17.610000610351562
2012/06/18,17.6200008392334
2012/06/19,17.559999465942383
2012/06/20,17.8799991607666
2012/06/21,17.8700008392334
2012/06/22,17.989999771118164
2012/06/25,17.3700008392334
2012/06/26,16.93000030517578
2012/06/27,17.0
2012/06/28,16.600000381469727
2012/06/29,16.989999771118164
2012/07/02,17.200000762939453
2012/07/03,17.059999465942383
2012/07/05,16.989999771118164
2012/07/06,16.1200008392334
2012/07/09,15.6899995803833
2012/07/10,15.449999809265137
2012/07/11,15.239999771118164
2012/07/12,14.399999618530273
2012/07/13,15.40999984741211
2012/07/16,16.170000076293945
2012/07/17,15.779999732971191
2012/07/18,15.880000114440918
2012/07/19,15.630000114440918
2012/07/20,15.260000228881836
2012/07/23,14.75
2012/07/24,14.119999885559082
2012/07/25,14.119999885559082
2012/07/26,14.470000267028809
2012/07/27,15.319999694824219
2012/07/30,16.170000076293945
2012/07/31,16.040000915527344
2012/08/01,15.800000190734863
2012/08/02,15.699999809265137
2012/08/03,16.0
2012/08/06,16.6200008392334
2012/08/07,16.81999969482422
2012/08/08,16.850000381469727
2012/08/09,16.739999771118164
2012/08/10,17.59000015258789
2012/08/13,17.690000534057617
2012/08/14,17.479999542236328
2012/08/15,17.809999465942383
2012/08/16,17.510000228881836
2012/08/17,17.5
2012/08/20,16.6200008392334
2012/08/21,16.860000610351562
2012/08/22,17.709999084472656
2012/08/23,17.969999313354492
2012/08/24,18.010000228881836
2012/08/27,17.989999771118164
2012/08/28,17.969999313354492
2012/08/29,17.969999313354492
2012/08/30,17.8799991607666
2012/08/31,17.5
2012/09/04,17.780000686645508
2012/09/05,17.600000381469727
2012/09/06,17.610000610351562
2012/09/07,17.56999969482422
2012/09/10,17.559999465942383
2012/09/11,17.510000228881836
2012/09/12,17.90999984741211
2012/09/13,17.899999618530273
2012/09/14,18.950000762939453
2012/09/17,18.75
2012/09/18,18.670000076293945
2012/09/19,18.889999389648438
2012/09/20,18.899999618530273
2012/09/21,18.920000076293945
2012/09/24,18.8700008392334
2012/09/25,18.850000381469727
2012/09/26,18.479999542236328
2012/09/27,18.639999389648438
2012/09/28,18.940000534057617
2012/10/01,18.610000610351562
2012/10/02,18.93000030517578
2012/10/03,19.0
2012/10/04,19.049999237060547
2012/10/05,19.309999465942383
2012/10/08,19.399999618530273
2012/10/09,19.5
2012/10/10,19.469999313354492
2012/10/11,19.489999771118164
2012/10/12,19.309999465942383
2012/10/15,19.020000457763672
2012/10/16,18.809999465942383
2012/10/17,18.149999618530273
2012/10/18,17.93000030517578
2012/10/19,17.610000610351562
2012/10/22,17.639999389648438
2012/10/23,17.760000228881836
2012/10/24,17.81999969482422
2012/10/25,17.809999465942383
2012/10/26,17.959999084472656
2012/10/31,17.979999542236328
2012/11/01,18.0
2012/11/02,17.799999237060547
2012/11/05,18.1200008392334
2012/11/06,18.489999771118164
2012/11/07,18.0
2012/11/08,17.790000915527344
2012/11/09,19.450000762939453
2012/11/12,19.649999618530273
2012/11/13,19.8700008392334
2012/11/14,19.459999084472656
2012/11/15,19.43000030517578
2012/11/16,19.459999084472656
2012/11/19,20.079999923706055
2012/11/20,19.860000610351562
2012/11/21,19.989999771118164
2012/11/23,20.0
2012/11/26,20.010000228881836
2012/11/27,19.920000076293945
2012/11/28,20.110000610351562
2012/11/29,20.5
2012/11/30,20.56999969482422
2012/12/03,20.719999313354492
2012/12/04,20.709999084472656
2012/12/05,20.600000381469727
2012/12/06,20.739999771118164
2012/12/07,20.700000762939453
2012/12/10,20.3799991607666
2012/12/11,20.43000030517578
2012/12/12,20.450000762939453
2012/12/13,20.280000686645508
2012/12/14,20.700000762939453
2012/12/17,20.799999237060547
2012/12/18,20.700000762939453
2012/12/19,20.09000015258789
2012/12/20,19.950000762939453
2012/12/21,19.81999969482422
2012/12/24,19.84000015258789
2012/12/26,19.309999465942383
2012/12/27,18.93000030517578
2012/12/28,18.940000534057617
2012/12/31,18.100000381469727
2013/01/02,18.979999542236328
2013/01/03,18.989999771118164
2013/01/04,19.190000534057617
2013/01/07,19.020000457763672
2013/01/08,19.15999984741211
2013/01/09,19.600000381469727
2013/01/10,19.790000915527344
2013/01/11,20.190000534057617
2013/01/14,20.1200008392334
2013/01/15,20.219999313354492
2013/01/16,20.219999313354492
2013/01/17,20.18000030517578
2013/01/18,20.260000228881836
2013/01/22,20.3700008392334
2013/01/23,20.40999984741211
2013/01/24,20.899999618530273
2013/01/25,20.920000076293945
2013/01/28,20.979999542236328
2013/01/29,20.950000762939453
2013/01/30,20.969999313354492
2013/01/31,20.719999313354492
2013/02/01,21.829999923706055
2013/02/04,21.600000381469727
2013/02/05,21.790000915527344
2013/02/06,21.469999313354492
2013/02/07,21.520000457763672
2013/02/08,21.489999771118164
2013/02/11,19.93000030517578
2013/02/12,20.299999237060547
2013/02/13,20.299999237060547
2013/02/14,20.520000457763672
2013/02/15,21.049999237060547
2013/02/19,20.940000534057617
2013/02/20,20.799999237060547
2013/02/21,20.850000381469727
2013/02/22,21.059999465942383
2013/02/25,20.6200008392334
2013/02/26,20.6299991607666
2013/02/27,21.510000228881836
2013/02/28,20.979999542236328
2013/03/01,22.450000762939453
2013/03/04,22.100000381469727
2013/03/05,22.979999542236328
2013/03/06,23.520000457763672
2013/03/07,23.40999984741211
2013/03/08,23.68000030517578
2013/03/11,23.389999389648438
2013/03/12,23.139999389648438
2013/03/13,23.489999771118164
2013/03/14,23.030000686645508
2013/03/15,22.889999389648438
2013/03/18,22.729999542236328
